Country,country code,yr,year,ta,Yv,p,ms,yd,d,r,t,g,hd
UK,1,1,1981,116684,5.40766E+11,37.67238487,34.79012208,1.93491E+11,7487.87,17.39912313,16,78,50.06313675
UK,1,2,1982,120772,5.15049E+11,40.91178195,36.08987362,2.00715E+11,7487.87,16.51704822,13,78,51.51444002
UK,1,3,1983,136823,4.89618E+11,42.79753005,36.32032099,2.18262E+11,7487.87,15.30774889,47,78,52.96574329
UK,1,4,1984,124205,4.61487E+11,44.92059183,37.70442663,2.12158E+11,7487.87,15.11370389,159,78,54.41704656
UK,1,5,1985,119544,4.89285E+11,47.6478981,38.17012939,2.32512E+11,7487.87,15.87271542,39,78,55.86834983
UK,1,6,1986,160685,6.01453E+11,49.28108193,43.46922213,2.48986E+11,7487.87,18.48560925,96,78,57.3196531
UK,1,7,1987,166590,7.45163E+11,51.32571574,74.06028972,2.79034E+11,7487.87,21.18146542,166,79,58.77095638
UK,1,8,1988,200509,9.10123E+11,53.45847975,77.00025993,2.96589E+11,7487.87,24.75599767,358,78,60.22225965
UK,1,9,1989,229496,9.26885E+11,56.53782134,83.54315531,2.96042E+11,7487.87,26.54814044,324,78,61.67356292
UK,1,10,1990,235151,1.09317E+12,61.09672647,84.96019803,3.20979E+11,7487.87,31.07991772,349,78,63.12486619
UK,1,11,1991,212052,1.1428E+12,65.65563159,82.06726896,2.70105E+11,7487.87,40.10902703,339,79,64.57616946
UK,1,12,1992,244263,1.17966E+12,68.67024228,56.46250205,2.88208E+11,7487.87,45.48834407,237,80,66.02747273
UK,1,13,1993,274168,1.06139E+12,70.42722397,56.14298592,2.79296E+11,7487.87,45.73377122,42,81,67.478776
UK,1,14,1994,300696,1.14049E+12,71.99001295,57.40221365,3.27276E+11,7487.87,48.01417986,107,82,68.93007928
UK,1,15,1995,334827,1.34158E+12,73.93194008,60.52458237,3.60282E+11,7487.87,51.17359647,179,82,65.02149
UK,1,16,1996,360686,1.41536E+12,76.04031811,64.94397875,3.92897E+11,7487.87,55.28156172,213,82,63.367337
UK,1,17,1997,370567,1.55908E+12,77.71407435,77.65301354,4.15868E+11,7487.87,59.44849198,193,82,64.44377
UK,1,18,1998,376513,1.65017E+12,79.12890697,89.68760726,4.21351E+11,7487.87,68.33016364,61,83,66.756091
UK,1,19,1999,345085,1.6824E+12,80.51599778,89.71267181,4.5882E+11,7487.87,69.66257017,112,84,68.282379
UK,1,20,2000,432644,1.65782E+12,81.4684668,94.56733942,4.68395E+11,7487.87,67.99744048,180,86,70.688138
UK,1,21,2001,405472,1.64025E+12,82.71684853,98.95425892,4.85441E+11,7487.87,67.92784068,234,86,75.513174
UK,1,22,2002,387846,1.78447E+12,83.97447753,99.43499124,5.14938E+11,7487.87,72.85464512,184,86,82.127682
UK,1,23,2003,430917,2.05302E+12,85.13038654,103.3712824,6.07699E+11,7487.87,76.05775633,196,87,87.535657
UK,1,24,2004,555907,2.41693E+12,86.31403736,108.136105,7.09149E+11,7487.87,82.969839,108,87,93.096503
UK,1,25,2005,651803,2.53868E+12,88.11725541,116.3985006,8.20382E+11,7487.87,80.1820157,146,87,94.972405
UK,1,26,2006,734240,2.71375E+12,90.28111707,125.7258854,9.4026E+11,7487.87,83.36360598,167,87,100.33195
UK,1,27,2007,796191,3.10088E+12,92.43573146,138.568454,1.21674E+12,7487.87,82.73484891,149,88,102.92705
UK,1,28,2008,776530,2.92267E+12,95.69077122,159.1203014,1.1989E+12,7487.87,79.97772533,534,88,102.91516
UK,1,29,2009,769251,2.41091E+12,97.56796745,163.3700951,1.34189E+12,7487.87,75.40709466,672,88,104.51879
UK,1,30,2010,759494,2.47524E+12,100,164.1231737,1.67562E+12,7487.87,70.65400408,663,88,100.91072
UK,1,31,2011,798249,2.65931E+12,103.8561124,151.4038582,1.82305E+12,7487.87,74.77553782,645,89,98.584696
UK,1,32,2012,788170,2.70489E+12,106.5285741,147.8884763,1.82764E+12,7487.87,84.41274388,611,89,96.163568
UK,1,33,2013,809444,2.78602E+12,108.9698539,145.0844286,1.85672E+12,7487.87,91.60771739,694,89,93.165121
UK,1,34,2014,838860,3.0638E+12,110.5511374,135.3427947,2.03913E+12,7487.87,100.4221479,860,89,91.948775
